"id_marche","date_notification","objet_marche","montant_marche","id_acheteur","code_postal_acheteur"
"202424/10","2024-12-11","ASSURANCES PREVOYANCE OTM NCA","350000.0000","39523504700051","06200"
"20232023065","2023-04-13","Entretien des portes automatiques et des rideaux métalliques (DPGF)","46480.0000","21930029000018","93700"
"202423V1608-00","2024-07-01","UD000 FOURNITURE DE PRODUITS DE BIOCONTROLE POUR LUTTER CONTRE LES ORGANISMES NUISIBLES","120000.0000","21060088800015","06364"
"202322V0531-02","2023-02-07","UD000 LOT2 ENTRETIEN DES ESPACES VERTS ZONE EST","1600000.0000","21060088800015","06364"
"202222/03L1","2022-11-23","ASSURANCE COMPLEMENTAIRE SANTE","560000.0000","39523504700051","06300"
"202423N0567-00","2024-02-02","HH/FOURNITURE DE PIECES DETACHEES, REPARATION ET MAINTENANCE DES VEHICULES INDUSTRIELS, TECHNIQUE ET DE TRAVAUX DE POIDS SUPERIEUR A 3,5T","3600000.0000","20003019500115","06364"
"2023083","2024-01-25","ACCORD CADRE A BON DE COMMANDE MULTI-ATTRIBUTAIRES DE PRESTATIONS DE MAITRISE D&#8217;?UVRE DE TRAVAUX DE RÉSEAUX HUMIDES SUR LE TERRITOIRE DE PMMCU","3000000.0000","20002718300017","COMM"
"202525/CC16","2025-07-07","PRESTATIONS DE SURVEILLANCE DE SURETE DE GARDIENNAGE ET DE SECURITE DES EVENEMENTS (ETE 2025) ORGANISES AU CENTRE DES CONGRES OCEANICE","210000.0000","39523504700051","06200"
"202323V1067-01","2023-12-26","VA300 Restauration sur la station d'Auron","100000.0000","21060088800015","06364"
"202522V0575-02","2025-01-21","RC100 - REVETEMENTS BATIMENTS AUTRES QU ADMINISTRATIFS ET DIVERS DE VDN","4320000.0000","21060088800015","06364"
"20252025001","2025-04-07","Rénovation de deux logements communaux","124479.6500","21090004900011","09310"
"2023 29 MOE","2023-10-30","Maîtrise d'oeuvre - Programme Voirie 2024-2025","80000.0000","24090046400126","09300"
"202323V1222-00","2023-12-21","IA800 COLLECTE TRAITEMENT DECHETS PALAIS EXPO NIKAIA","606960.0000","21060088800015","06364"
"202522V0575-01","2025-01-21","RC100 - REVETEMENTS  BATIMENTS ET EQUIPEMENTS ADMINISTRATIFS ET DIVERS VDN","2360000.0000","21060088800015","06364"
"2025M055","2026-01-06","Lot 1-Accord-cadre à bons de commande pour l'entretien des m","507000.0000","25350262900020","35000"
"2025M057","2026-01-06","Lot 3-Accord-cadre à bons de commande pour l'entretien des m","174000.0000","25350262900020","35000"
"2025M056","2026-01-06","Lot 2-Accord-cadre à bons de commande pour l'entretien des m","486000.0000","25350262900020","35000"
"202423V0362-04","2024-03-15","SD600 - BANDES DESSINEES ADULTES ET JEUNES","160000.0000","21060088800015","06364"
"20232023067","2023-04-20","Lot 1 Elagage, abattage, dessouchage des arbres","800000.0000","21930029000018","93700"
"202423V0507-01","2024-07-10","CA100-MAINTENANCE EXTINCTEURS DES RIA ET DE TOUS LES SYSTEMES EXTINCTIONS AUTOMATIQUES OU PAS DANS LES BTS COMMUNAUX METROPOLITAINS ET DU CCAS FORMATION AD HOC DU PERSONNEL DES DIVERS SITES","160000.0000","26060047300011","06364"
"20232023070-1","2023-05-10","Lot 1 DPGF Désinsectisation annuelle","55792.0000","21930029000018","93700"
"202524N0141-01","2025-03-18","LOT 01 LITTORAL ET COLLINES","20000000.0000","20003019500115","06364"
"202423N0084-PF","2024-01-18","MARCHE MIXTE PARTIE FORFAITAIRE","1247953.2000","20003019500115","06364"
"202423N0881-01","2024-11-06","LOT 1 - VOIRIE ET RESEAUX DIVERS","1487678.3000","20003019500115","06364"
"202422V0530-01","2024-01-23","GJ - LOT 1 - MENUISERIE BATS ADM ET DIVERS , ANIMANICE","2700000.0000","20003019500115","06364"
"202322V0135-01","2023-12-27","RC100 - LOT 1 - MAINTENANCE ELECTRICITE DANS LES ETS ADM ET DIVERS VDN","4200000.0000","21060088800015","06364"
"20242024066","2024-09-02","Réhabilitation et extension du Stade Nautique","23437105.0000","21930029000018","93700"
"202524N0512-00","2025-11-28","DI - ACHAT DE FOURNITURES ET MATERIELS ELECTRIQUES PORT DE NICE","240000.0000","20003019500115","06364"
"202221N0592-00","2022-11-03","FF - DEVELOPPEMENT, PARAMETRAGE ET PRESTATIONS COMPLEMENTAIRES SUR LE LOGICIEL HR ACCESS","3200000.0000","20003019500115","06364"
"202422V0530-03","2024-01-23","RC100 - LOT 3 - MENUISERIE BATS CULTURELS ET CULTUELS VDN","4400000.0000","21060088800015","06364"
"202221N0440-01","2022-11-24","LOT 1 - COMMUNICATION INSTITUTIONNELLE","1200000.0000","20003019500115","06364"
"202422V0530-02","2024-01-23","RC100-LOT 2-MENUISERIE BATS SCOLAIRES,SOCIAUX+ASSIMILES,SPORTIFS VDN","8600000.0000","21060088800015","06364"
"202525CC14-L1","2025-07-24","LOCATION DE MOBILIER EVENEMENTIEL ET ACCESSOIRES DIVERS","2000000.0000","39523504700051","06200"
"202525CC04-L2","2025-06-19","LOT 2 - PERSONNEL DE RESTAURATION","1000000.0000","39523504700051","06200"
"20258690700005","2025-01-10","RESTRUCTURATION CUISINE DE PROXIMITE LOT 5","53920.3000","20006671000118","14220"
"202615-09-2025","2025-11-28","Marché public de fournitures de denrées alimentaires","792000.0000","26240565700053","24310"
"202423_013M14","2024-02-01","VRD ESPACES VERTS REHAB CERISIERS","220934.1800","21690081100011","69134"
"202510001","2026-01-15"," Achat billets davion congés bonifiés des agents communaux AIR FRANCE.","40000.0000","20008352500010","91000"
"2020L078","2020-10-16","MISSION D'ASSISTANCE A MAITRISE D'OUVRAGE POUR LA CREATION D'UNE ANTENNE DE PREMIER SECOURS SUR LA COMMUNE DE ROQUEBRUNE CAP MARTIN","38975.0000","28060051100024","06"
"2024A0341L01","2025-05-16","AN1 Travaux de restauration, d&#8217;entretien et de sécurisation des itinéraires de randonnées inscrits au Plan Départemental des Itinéraires de Promenade et de Randonnée (Littoral/Moyen Pays) Lot n°1 : Littoral / moyen pays ouest","670000.0000","22060001900016","006"
"2025913806","2025-06-19","TRAVAUX POUR LA REHABILITATION LOURDE DE L'ECOLE ELEMENTAIRE PAUL BERT - LOT 4 GROS OEUVRE FACADE BRIQUE","688092.3800","21250056500016","25056"
"20258301","2025-12-17","FOURNITURE ÉMISSION TITRE RESTAURANT SOUS FORME DÉMATÉRIALISEE AVEC LIVRAISON  POUR AGENTS","1300000.0000","20008352500010","91000"
"2024304409","2024-08-06","PIECES ATELIER AUTO LOT 4 VEHICULES DE MARQUE RENAULT TRUCKS ET LEURS EQUIPEMENTS EMBARQUES : PIECES DE RECHANGE ET PRESTATIONS","180000.0000","24250036100017","25"
"2024-08-10","2025-01-06","M.2024-08 Lot 10 Construction cuisine centrale","493000.0000","21690143900010","69250"
"2023M23021L00","2023-05-11","FOURNITURE DE PRODUITS DE MARQUAGE AU SOL","200000.0000","21710270600017","71018"
"2025000005-2","2025-07-29","Maison écocitoyenne - LOT 2","119304.0000","21350066300017","35131"
"20252024078","2025-01-20","LOT 11 Tvx entretien Faucardage des roseaux du site de la Direction du Cycle de l'Eau","40000.0000","20007030800016","71011"
"2024913107","2024-06-11","LOT 4 MOBILIER DE PUERICULTURE","150000.0000","21250056500016","25056"
"2026197-03","2025-10-08","LOT 3 VEHICULES A MOTEUR","56913.8400","21290075700015","29490"
"2026-029-Lot 8","2026-01-08","Lot 8 Légumes de 4ème et 5ème gamme","48530.8400","21790270900013","79400"
"2023M23039L03A","2023-07-28","LOT 3A : MENUISERIE CHARPENTE BOIS - LES CORDELIERS","51914.6800","21710270600017","71018"
"2024A24016L12","2024-02-26","LOT 12 : BIOUX PILLET CHAMPLEVERT - ENTRETIEN ESPACES VERTS","80000.0000","21710270600017","71018"
"2023M2300060","2023-02-09","OPÉRATIONS DE SÉCURITÉ SUR ROUTES DÉPARTEMENTALES","4500000.0000","22660001300016","66906"
"202520240271","2024-07-12","Travaux Quai de Transfert - LOT 13 Chauffage, Ventilation, ","73000.0000","24350074100257","35600"
"2024-0033","2024-12-19","MISSION DE SUIVI-ANIMATION D'UNE OPAH-RU ET D'UNE ORI SUR LE CENTRE ANCIEN DE LA VILLE DE SAINT-MAIXENT L'ECOLE","287387.5000","21790270900013","79400"
"2023CNE0600","2023-08-11","AMENAGEMENT PLACE DU CRISTAL ET PLACE DE LA REPUBLIQUE","558372.6500","21380052700011","38520"
"2023230019","2023-03-30","MISE EN OEUVRE DE PRESTATIONS D ACCOMPAGNEMENT DE MOBILISATION ET DE FORMATION POUR LES PARTICIPANTS DU PLIE (PLAN LOCAL POUR L INSERTION ET L EMPLOI) LOT4 : MISSION D ACCOMPAGNEMENT A L ACQUISITION DES COMPETENCES ET SAVOIRS DE BASES NUMERIQUES APPLIQUES","110250.0000","20006911000019","73065"
"20262538","2026-01-19","MOE REAMENAGEMENT SECTEUR CURIAL ET SES ABORDS","51995.0000","21730065600014","73065"
"2025BG002L12","2025-11-14","PHOTOVOLTAIQUE - LOT 12","45067.5000","20007151200178","03310"
"2024A24067F","2024-10-03","TRX RECONSTRUCTION STATION DE DEPOLLUTION DES EAUX USEES PAR BOUES ACTIVEES DE SAVENNIERES","1399434.0000","24490001500029","49170"
"2025BG002L08","2025-11-14","CARRELAGE FAIENCE - LOT 8","40650.6900","20007151200178","03310"
"2025003-2","2025-09-05","CONSTRUCTION SALLE MULTI ACTIVITES - LOT 2","1036800.0000","21740031600014","74160"
"2025M013","2025-07-04","VILLAZ/Ext.rés.EU Lot 1-Canalisations et tvx divers","117817.5000","24740001300030","74962"
"20252025-009G","2025-12-22","MJA LOT 7 DOUBLAGES CLOISONS PLAFONDS","248443.3000","21560107100016","56260"
"20252025-009L","2025-12-22","MJA LOT 13 ELECTRICITE COURANTS FORTS COURANTS FAIBLES SSI","106241.1100","21560107100016","56260"
"202503-05","2025-11-26","AMENAGEMENT AIRE DE LOISIRS DES CANDOULIERS - LOT 5 PARCOURS AVENTURE","58000.0000","21830021800011","83149"
"202216","2023-06-07","GESTION D'UNE VEGETRI","413430.0000","24850025800046","85167"
"2026CS032502","2026-01-14","CHARPENTES - COUVERTURES - ETANCHEITE","672650.1400","21830069700016","83400"
"2024CAI0011","2024-05-23","EXTENSION ET REAMENAGEMENT CAI DE CRAON - LOT 11 - ELECTRICITE","86833.0400","20004855100010","53400"
"202323.003V","2023-01-03","LOT 3 PAPIERS","60000.0000","20008465500014","53204"
"2024CAI003","2024-05-23","EXTENSION ET REAMENAGEMENT CAI DE CRAON - LOT 3 - CHARPENTE BOIS - ISOLATION - PAILLE - BARDAGE","218521.6100","20004855100010","53400"
"2026CS032501","2026-01-14","INSTALLATIONS DE CHANTIER ECHAFFAUDAGES DEMOLITION MACONNERIE GROS OEUVRE FACADES","949060.1500","21830069700016","83400"
"20241402","2025-01-29","RESTAURATION DES CHARPENTES - COUVERTURES EGLISE DE LA TRINITE - LOT 02 MACONNERIE - PIERRE DE TAILLE","38417.1000","21740085200018","74170"
"202323.002V","2023-01-03","LOT 2 FOURNITURES SCOLAIRES","160000.0000","20008465500014","53204"
"202415","2024-12-03","MISSION MOE POUR LA REHABILITATION DES MAISONS "" ROSSET""","127000.0000","21740236100018","74170"
"2024CAI006","2024-05-21","EXTENSION ET REAMENAGEMENT CAI DE CRAON - LOT 6 - MENUISERIES INTERIEURES BOIS - AGENCEMENT","111671.9000","20004855100010","53400"
"2024CAI001","2024-05-23","EXTENSION ET REAMENAGEMENT CAI DE CRAON - LOT 1 - VRD","66294.7500","20004855100010","53400"
"20262500034016","2025-11-03","PRESTATIONS DENEIGEMENT D'ENNEIGEMENT LE TOUR","65000.0000","21740056300011","74400"
"202401171420","2024-01-17","LOT 10 SOLS SOUPLES","79485.3900","21740083700019","74920"
"20262500034013","2025-11-03","PRESTATIONS DE DENEIGEMENT D'ENNEIGEMENT ARG CENTRE ","75000.0000","21740056300011","74400"
"202424.008V","2024-06-18","TRAVAUX REHAB CHAUFFERIE HDV","218912.9600","20008465500014","53204"
"2023024-11B","2023-01-23","Travaux de restructuration et d'extension de la gendarmerie - Lot11B - Charpente métallique - Métallerie","137958.0000","21850234200015","85160"
"20252025-009I","2025-12-22","MJA LOT 9 REVETEMENTS SOLS FAIENCES","75524.2300","21560107100016","56260"
"2024132","2024-09-30","LOT 2 : CHARPENTE / COUVERTURE / MENUISERIE","780562.7500","21740236100018","74170"
"202401171400","2024-01-17","LOT 2 GROS OEUVRE ","1450000.0000","21740083700019","74920"
"2024A006","2024-06-10","MISSION DE MAITRISE D OEUVRE POUR LA CONSTRUCTION D UN STADE DE FOOTBALL SYNTHETIQUE ET DES VESTIAIRES SPORTIFS - STADE DES BOURRES - STADE MUNICIPAL - PREMILHAT","125150.0000","20007108200016","COMM"
"2026202515B02","2025-10-08","FOURNITURE ET MONTAGE SUR CHASSIS D'UNE BENNE 20 M3","126580.0000","24290080100133","29800"
"20252025-009F","2025-12-22","MJA LOT 6 METALLERIE SERRURERIE","75626.4800","21560107100016","56260"
"20262600002000","2026-01-15","AC TVX DE COUPE PAR CABLE FORESTIER","150000.0000","21740056300011","74400"
"2024T02202309","2023-11-14","Construction d'un pôle sportif et associatif - lot 9 Plomberie CVC","163500.0000","21850024700018","85710"
"2025.1 Lot 4","2025-06-06","CHARPENTE - ISOLATION","231767.3400","21290286000015","29800"
"20258690700008","2025-01-10","RESTRUCTURATION CUISINE DE PROXIMITE LOT 8","156539.2200","20006671000118","14220"
"202424.003SIVU","2024-11-08","TRAVAUX DE REMPLACEMENT ET OPTIMISATION DES SURPRESSEURS DE LA SATION D'EPURATION","465000.0000","24740030200011","74120"
"2025T05-1","2025-09-09","Travaux de sécurisation des zones urbaines sensibles sur la route du cordon lagunaire : Aménagement de surfaces","69990.0000","20003649900016","20290"
"202525M0005L00","2025-09-01","MARCHE GLOBAL DE PERFORMANCE ENERGETIQUE POUR L'EXPLOITATION ET LA MAINTENANCE DES INSTALLATIONS DE GENIE CLIMATIQUE ET AUTRES EQUIPEMENTS CVC DU CADAM ET DES BATIMENTS ARIANE ET CENTAURE A NICE","4999091.4600","22060001900016","006"
"2025-01/04-000","2025-04-24","Lot 4 - Couverture - Création d'un restaurant scolaire","92323.5000","21290217500158","29930"
"2025-01/05-000","2025-04-23","Lot 5 - Menuiseries extérieures - Création d'un restaurant scolaire","65000.0000","21290217500158","29930"
"2024IN03","2024-12-23","ACCES SOLUTION GESTION ET EXPLOITATION BILLETRIE (SL-ET-TH-PLAN)","20000.0000","20005922800011","91080"
"2024M2400495","2024-04-09","CRÉATION ET RÉALISATION D'ANIMATIONS SUR LE SITE DÉPARTEMENTAL THÉMIS SOLAIRE INNOVATION","204000.0000","22660001300016","66906"
"2026M26007","2025-11-04","MAINTENANCE PROGICIEL ARPEGE","41885.8800","21050061700019","05000"
"2026260009","2026-01-19","MS 25 LOT 1 FOURNITURE DE CARBURANT FEVRIER 2026","100000.0000","21050061700019","05000"
"2025250307","2025-12-22","MS 24 LOT 1CARBURANT JANVIER 2026","100000.0000","20006782500030","05000"
"202525040","2025-04-22","LOT8 REHABILITATION SALLE OMNISPORTS PEINTURE - SOLS SOUPLES","109167.3600","21330199700010","33199"
"202404 01","2024-10-07","CREATION BETEG CHAUFFAGE","449045.1700","21440050900011","44160"
"2024T12MAR0037","2024-11-29","TRAVAUX DE MARQUAGE ROUTIER","80000.0000","21350136400011","35150"
"202525012","2025-02-19","LOT7 REHABILITATION SALLE OMNISPORTS, CARRELAGES ET FAIENCES","60000.0000","21330199700010","33199"
"2022M2201191","2022-08-03","Port de Port Vendres Programme de Développement Durable Requalification du quai Dezoums","24598522.0700","22660001300016","66906"
"20242024007","2024-06-19","LOT 6 - CLOISONS - PLAFONDS - CONSTRUCTION SALLE AU 456 DE GAULLE ","73955.0900","20006297400106","29290"
"2025M018","2025-07-24","VV/ Elarg TR 2 - Lot 2 : Aménagements paysagers et mobiliers","304910.3800","24740001300014","74962"
"2025COM24-13-9","2025-02-07","Lot 9 - Cloisons sèches et menuiseries intérieures bois","83346.0100","21290040100010","29217"
"2023230018","2023-03-31","MISE EN OEUVRE DE PRESTATIONS D ACCOMPAGNEMENT DE MOBILISATION ET DE FORMATION POUR LES PARTICIPANTS DU PLIE (PLAN LOCAL POUR L INSERTION ET L EMPLOI) LOT 3 : MISSION DE FORMATION POUR L APPRENTISSAGE DU FRANCAIS OU DU FRANCAIS LANGUE ETRANGERE APPLIQUE A","113400.0000","20006911000019","73065"
"20252024_02BL2","2025-06-24","Lot 2 - Gros oeuvre","69850.0000","21350151300013","35550"
"2025/12/L1","2025-09-04","Lot 1 : Désamiantage","52000.0000","20005481500010","44450"
"20252025-02L08","2025-11-14","Restructuration et rénovation de la salle des fêtes","49966.1600","21790166900101","79360"
"20252025-009A","2025-12-22","MJA LOT 1 TERRASSEMENTS VRD ESPACES VERTS","214829.4900","21560107100016","56260"
"2024/02/L2","2024-05-17","Lot no2 : Passerelle bois - fondations vissées et mobilier","46955.0000","20005481500010","44450"
"202503-04","2025-06-06","AMENAGEMENT AIRE DE LOISIRS DES CANDOULIERS - LOT 4 JEUX","130196.2000","21830021800011","83149"
"2025202509L3","2025-12-02","Lot 3 : Flotte automobile et auto mission","262422.6000","20006786600018","44330"
"20250704","2025-07-07","LOT 4 : POISSONS ET CRUSTACES FRAIS - DENREES ALIMENTAIRES ","450000.0000","20007657800018","22100"
"20250201","2025-03-03","LOT 1 - TERRASSEMENT - VOIRIE - TRAVAUX PLACE ST SAUVEUR","1293895.0000","20007657800018","22100"
"20252025-02L01","2025-11-14","Restructuration et rénovation de la salle des fêtes","69696.8100","21790166900101","79360"
"20252025-02L03","2025-11-14","Restructuration et rénovation de la salle des fêtes","43385.4300","21790166900101","79360"
"20222022M053","2022-12-15","Vérifications périodiques et maintenance des ascenseurs","80000.0000","24740001300014","74962"
"202420240009V","2024-06-18","PRESTATION NETTOYAGE DES VITRERIES BATIMENTS","120000.0000","21220113100019","22300"
"2024ALGAELOT5","2024-10-24","LOT 5 - SMAC - ETANCHEITE","58918.9500","21290195300019","29880"
"20252025-02L07","2025-11-14","Restructuration et rénovation de la salle des fêtes","95664.6900","21790166900101","79360"
"20252025-02L05","2025-11-14","Restructuration et rénovation de la salle des fêtes","84434.5700","21790166900101","79360"
"20252025-02L06","2025-11-14","Restructuration et rénovation de la salle des fêtes","66203.7400","21790166900101","79360"
"20252025-02L11","2025-11-14","Restructuration et rénovation de la salle des fêtes","61937.6400","21790166900101","79360"
"202300411","2023-09-21","REST SCOL LOT 11 CLOISONS ISOTHERMES","74000.0000","21850232600018","85480"
"2026202515B01","2025-10-08","FOURNITURE D'UN CHASSIS POUR BOM 26T","119500.0000","24290080100133","29800"
"20252025-02L10","2025-11-14","Restructuration et rénovation de la salle des fêtes","90000.0000","21790166900101","79360"
"20240009","2024-02-05","Construction gendarmerie et 5 logements Tourouvre","152424.4200","20006885600125","61290"
"202525_50","2026-01-07","ETUDE SCHEMA DIRECTEUR UVE HORIZON 2040","41340.0000","25250824700019","25056"
"20242024MAM12","2024-05-06","MAM lot 12 électricité GERGAUD","46094.1100","21560051100012","56420"
"2025102623026","2024-07-01","Lot 7 rénovation et mise en accessibilité du gymnase Paul Bert à GIEN","68559.3500","24450021100127","45503"
"2025ENF Lot 15","2025-07-29","Pole Enfance Demolition / désamiantage","52301.0000","24240075200141","24800"
"202525AMENAG3P","2025-10-23","AMENAGEMENT DE 3 POINTS D'APPORT VOLONTAIRE","82410.9000","20006945800079","61120"
"2024913236","2024-08-06","PIECES ATELIER AUTO LOT 4 VEHICULES DE MARQUE RENAULT TRUCKS ET LEURS EQUIPEMENTS EMBARQUES : PIECES DE RECHANGE ET PRESTATIONS","60000.0000","21250056500016","25056"
"2024PRESBLOT01","2024-09-25","LOT 1 MACONNERIE DEMOLITIONS","156963.0000","21240096400012","24530"
"202525123","2025-11-28","REPRISE DU SOL SPORTIF PRINCIPAL GYMNASE RHEABILITATION GYMNASE CHANTE CIGALE SALLE OMNISPORTS TRAVAUX PRESTATIONS SIMILAIRES EN LIEN AVEC LE MARCHE 2025-040 LOT 8 -PEINTURE - SOLS SOUPLES","75577.5000","21330199700010","33199"
"2023A23072E","2023-07-25","FOURNITURE DE PIECES DE RESEAU ET D EQUIPEMENTS CONNEXES POUR LES TRX D AEP ET EU LOT N°14","700000.0000","24490001500011","49000"
"202401L01","2024-09-15","terrassement et VRD","1149593.5200","20003612700013","14700"
"20262431","2025-12-17","ACHEM ET FOURNITURE DE GAZ NATUREL","2000000.0000","20004024400010","79300"
"202424000101","2024-05-23","VRD, GROS OEUVRE, CHARPENTE","406442.1700","24790079800031","79100"
"2025001LOT03","2025-05-09","MEDIATHEQUE  :  CONSTRUCTION MEDIATEQUE - LOT 03- GROS OEUVRE  ","121962.0400","21720350400014","72220"
"2023230017","2023-04-03","MISE EN OEUVRE DE PRESTATIONS D ACCOMPAGNEMENT DE MOBILISATION ET DE FORMATION POUR LES PARTICIPANTS DU PLIE (PLAN LOCAL POUR L INSERTION ET L EMPLOI) LOT 2 : MISSION D INTERMEDIATION ET RELATIONS AVEC LES ENTREPRISES POUR LES PARTICIPANTS DU PLIE","156600.0000","20006911000019","AGG"
"2025ENF Lot 05","2025-07-29","Pole Enfance Menuiserie extérieure","180800.0000","24240075200141","24800"
"2024EPR-2024-0","2024-06-19","SELF ECOLE CROISSANT LOT No1","105820.8500","21220161000012","22200"
"20250000000E18","2025-10-09","MO BATIMENT TECHNIQUE COMMUNAUTAIRE BRANTOME","62800.0000","20004157200153","24310"
"2025MOE07","2025-04-10","MISSION DE MAITRISE D'OEUVRE POUR L'AMENAGEMENT D'UN RELAIS PETITE ENFANCE","41100.0000","21740213000017","74330"
"2024-05","2024-04-19","FOURNITURE ET ACHEMINEMENT D'ELECTRICITE ET SERVICES ASSOCIES","130410.8300","25830274400044","83860"
"2024003-01","2025-03-13","Aménagements des espaces urbains","1681881.6000","21220182600089","22170"
"2025040","2025-12-17","Marché de maîtrise duvre  construction  dun groupe scolaire à Viry","1159080.0000","21740309600019","74580"
"2025-07-SOLI","2025-12-08","MARCHE DE MAITRISE D'OEUVRE POUR REAFFECTATION DE L'ANCIENNE GENDARMERIE VERS UNE MAISON DES SOLIDARITES.","99248.0000","24740058300057","74930"
"20252025-009D","2025-12-22","MJA LOT 4 COUVERTURE","165329.5300","21560107100016","56260"
"202410-02","2024-10-04","REAMENAGEMENT COEUR DE VILLAGE - PHASE 3 - LOT 2 TERRASSEMENT-RESEAUX DIVERS - SECTEUR CHAPELLE ET PARKING JAURES","161294.6700","21830021800011","83149"
"20252025-009J","2025-12-22","MJA LOT 10 PEINTURE REVETEMENTS MURAUX","40603.6900","21560107100016","56260"
"2025PA06-2","2025-09-23","Partie à bon de commande","60000.0000","21850003100065","85190"
"2026MAPA","2025-11-19","Imaginer les bourgs de demain à la lumière de la sobriété foncière sur le territoire de Provence Verte Verdon","100000.0000","20000825800028","83175"
"2025PA06-1","2025-09-23","Partie forfaitaire","153971.3200","21850003100065","85190"
"2025_27_M_MER","2026-01-12","LOT 2-REALISATION DE DIAGNOSTICS DE VULNERABILITE ACTIVITES ECONOMIQUES","125000.0000","24850019100023","85330"
"20252025-04-1","2025-06-19","M2025-04 LOT01 VOIRIE RESEAUX DIVERS, BORNES AMOVIBLES ET MOBILIER URBAIN","3599687.8000","21740008400018","74100"
"20252025-009H","2025-12-22","MJA LOT 8 MENUISERIES INTERIEURES","75896.2400","21560107100016","56260"
"2025LOT 2","2025-11-07","Travaux de réaménagement et d'extension de la Halte Garderie Lot 2","86017.8300","21730098700013","73230"
"2025LOT 6","2025-11-07","REAMENAGEMENT ET EXTENSION DE LA HALTE GARDERIE","44575.3900","21730098700013","73230"
"2025LOT 1","2025-11-07","REAMENANGEMENT ET EXTENSION DE LA HALTE GARDERIE Lot 1","63299.5000","21730098700013","73230"
"202625F021101","2026-01-01","FOURNITURES CARTES ACHAT ET CARBURANT","215000.0000","24400086500091","40230"
"20252025-009K","2025-12-22","MJA LOT 12 CHAUFFAGE VENTILATION PLOMBERIE SANITAIRES","281677.1000","21560107100016","56260"
"202625S020801","2025-11-12","MAINTENANCE PREVENTIVE CHAUFFAGE VENTILATION CLIMATISATION","120000.0000","24400086500091","40230"
